Job Title,Company,Location,Required Skills,Job Description,Experience,Salary
Mobile App Developer,Canva,"Austin, TX","Kotlin, Swift, Flutter, React Native, Java, Mobile App Development, Git, REST APIs, SQL","Join our growing team at Canva in Austin, TX! Design, build, and publish mobile applications. Integrate third-party libraries, handle offline storage, and optimize rendering speed across various mobile screen sizes. We offer great benefits, flexible hours, and professional development.",2-5 years,"$100,000 - $145,000"
Mobile App Developer,Datadog,Singapore,"Kotlin, Swift, Flutter, Java, Mobile App Development, Git, REST APIs, Communication, Project Management","Join our growing team at Datadog in Singapore! Develop and launch native or cross-platform mobile apps for iOS and Android. Write clean code in Swift or Kotlin, and consume REST APIs. We offer great benefits, flexible hours, and professional development.",0-2 years,"$70,000 - $95,000"
QA Automation Engineer,Stripe,Remote (Europe),"Python, Selenium, Java, Test Automation, API Testing, Postman, CI/CD, Git, Problem Solving","Join our growing team at Stripe in Remote (Europe)! Build automated testing suites for web applications using Selenium and Python. Integrate tests into the CI/CD pipeline to ensure quality releases. We offer great benefits, flexible hours, and professional development.",5+ years,"$125,000 - $160,000"
Backend Developer,Square,Remote (Worldwide),"Python, Flask, Django, SQL, PostgreSQL, REST APIs, Git, Docker, Scrum, Agile, Project Management","Join our growing team at Square in Remote (Worldwide)! Design and build scalable server-side systems and databases. Create secure, high-performance RESTful APIs to integrate with modern web frontends. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $200,000"
Java Software Engineer,Capgemini,"Mumbai, India","Java, Spring Boot, Microservices, SQL, Hibernate, JUnit, Docker, Git, Project Management","Join our growing team at Capgemini in Mumbai, India! Build scalable Java applications. Coordinate database operations with Hibernate, secure microservices, and containerize systems using Docker. We offer great benefits, flexible hours, and professional development.",0-2 years,"$70,000 - $95,000"
DevOps Engineer,Pinterest,"Munich, Germany","AWS, Docker, Kubernetes, CI/CD, Jenkins, Terraform, Linux, Git, Project Management","Join our growing team at Pinterest in Munich, Germany! Maintain high availability of applications using Kubernetes and Docker. Streamline development processes, monitor system performance, and handle container orchestration. We offer great benefits, flexible hours, and professional development.",1-3 years,"$80,000 - $110,000"
UI/UX Designer,Twitter,"Paris, France","Figma, Adobe XD, Wireframing, User Research, Visual Design, UI Design, Scrum, Problem Solving, Agile","Join our growing team at Twitter in Paris, France! Create user-centered designs by understanding business requirements and user feedback. Conduct user research and deliver high-fidelity wireframes and interactive prototypes in Figma. We offer great benefits, flexible hours, and professional development.",5+ years,"$130,000 - $170,000"
C++ Software Developer,Datadog,"Tokyo, Japan","C++, Algorithms, Data Structures, Linux, Multithreading, Git, Object-Oriented Programming, SQL, Teamwork","Join our growing team at Datadog in Tokyo, Japan! Write high-performance low-level applications in C++. Optimize algorithms, design efficient data structures, and implement multithreading solutions. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $205,000"
QA Automation Engineer,Salesforce,Remote (US),"Python, Selenium, Java, Test Automation, Postman, CI/CD, Git","Join our growing team at Salesforce in Remote (US)! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",1-3 years,"$65,000 - $85,000"
Backend Developer,Slack,Remote (US),"Python, Flask, Django, SQL, PostgreSQL, REST APIs, Docker, Git, Problem Solving","Join our growing team at Slack in Remote (US)! Design and build scalable server-side systems and databases. Create secure, high-performance RESTful APIs to integrate with modern web frontends. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $200,000"
Product Manager,Slack,"Paris, France","Product Strategy, Agile, Scrum, Jira, Market Research, Roadmapping, Communication, Docker","Join our growing team at Slack in Paris, France! Define the product vision, roadmap, and requirements. Lead cross-functional teams of engineers and designers to launch new tech features under Agile methodologies. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
Java Software Engineer,Square,"London, UK","Java, Spring Boot, Microservices, SQL, Hibernate, JUnit, Docker, Git, Project Management","Join our growing team at Square in London, UK! Build scalable Java applications. Coordinate database operations with Hibernate, secure microservices, and containerize systems using Docker. We offer great benefits, flexible hours, and professional development.",2-5 years,"$100,000 - $140,000"
QA Automation Engineer,DocuSign,Remote (Europe),"Python, Selenium, Test Automation, API Testing, Postman, CI/CD, Git, SQL","Join our growing team at DocuSign in Remote (Europe)! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",5+ years,"$125,000 - $160,000"
QA Automation Engineer,KPMG,"Toronto, Canada","Python, Selenium, Java, Test Automation, API Testing, Postman, CI/CD, Git, SQL","Join our growing team at KPMG in Toronto, Canada! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",1-3 years,"$65,000 - $85,000"
Backend Developer,Wipro,"Austin, TX","Python, Django, SQL, PostgreSQL, REST APIs, Git, Docker, Communication, Scrum","Join our growing team at Wipro in Austin, TX! Design and build scalable server-side systems and databases. Create secure, high-performance RESTful APIs to integrate with modern web frontends. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $200,000"
Machine Learning Engineer,Intel,"Bangalore, India","Python, PyTorch, TensorFlow, Machine Learning, Deep Learning, SQL, Docker, Git, Analytics, Agile, Communication","Join our growing team at Intel in Bangalore, India! Research and implement deep learning algorithms, natural language processing, or computer vision models. Build inference endpoints and maintain ML models in production. We offer great benefits, flexible hours, and professional development.",3-6 years,"$130,000 - $175,000"
Product Manager,Square,"Toronto, Canada","Product Strategy, Agile, Scrum, Jira, Roadmapping, Communication, Docker","Join our growing team at Square in Toronto, Canada! Drive product development from conception to launch. Conduct user research, analyze metrics, and prioritize backlog items using Jira and Agile frameworks. We offer great benefits, flexible hours, and professional development.",1-3 years,"$80,000 - $110,000"
Cyber Security Analyst,LinkedIn,"Bangalore, India","Network Security, Ethical Hacking, Linux, Firewall, Wireshark, SIEM, Information Security, Analytics, SQL, Docker","Join our growing team at LinkedIn in Bangalore, India! Implement security strategies, audit systems for compliance, analyze logs using SIEM tools, and protect company infrastructure from unauthorized access. We offer great benefits, flexible hours, and professional development.",3-5 years,"$110,000 - $150,000"
QA Automation Engineer,Cisco,"Sydney, Australia","Python, Selenium, Java, Test Automation, API Testing, Postman, Git, Problem Solving, Project Management, Agile","Join our growing team at Cisco in Sydney, Australia! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",1-3 years,"$65,000 - $85,000"
Frontend Engineer,HubSpot,"San Francisco, CA","HTML, CSS, JavaScript, React, Redux, Tailwind CSS, Git, Project Management, Problem Solving","Join our growing team at HubSpot in San Francisco, CA! Develop modern, component-based frontend architectures. Optimize application performance, ensure cross-browser compatibility, and maintain clean, reusable code. We offer great benefits, flexible hours, and professional development.",0-2 years,"$70,000 - $95,000"
Data Analyst,Tesla,Remote (India),"SQL, Excel, Python, Power BI, Tableau, Statistics, Docker, Git, Project Management","Join our growing team at Tesla in Remote (India)! Analyze key performance indicators and business metrics. Write SQL queries to extract data, create automated reports in Excel, and design dashboards in Power BI. We offer great benefits, flexible hours, and professional development.",2-4 years,"$80,000 - $105,000"
Product Manager,Meta,Remote (US),"Product Strategy, Agile, Jira, Market Research, Roadmapping, Communication, Docker, Project Management, SQL","Join our growing team at Meta in Remote (US)! Define the product vision, roadmap, and requirements. Lead cross-functional teams of engineers and designers to launch new tech features under Agile methodologies. We offer great benefits, flexible hours, and professional development.",1-3 years,"$80,000 - $110,000"
Data Analyst,Oracle,Remote (Worldwide),"SQL, Excel, Python, Power BI, Tableau, Data Visualization, Statistics, Git, Docker, Analytics","Join our growing team at Oracle in Remote (Worldwide)! Analyze key performance indicators and business metrics. Write SQL queries to extract data, create automated reports in Excel, and design dashboards in Power BI. We offer great benefits, flexible hours, and professional development.",0-2 years,"$55,000 - $75,000"
UI/UX Designer,GitHub,"Tokyo, Japan","Figma, Adobe XD, Wireframing, Prototyping, User Research, Visual Design, UI Design, Communication, Docker","Join our growing team at GitHub in Tokyo, Japan! Create user-centered designs by understanding business requirements and user feedback. Conduct user research and deliver high-fidelity wireframes and interactive prototypes in Figma. We offer great benefits, flexible hours, and professional development.",2-5 years,"$90,000 - $125,000"
Full Stack Developer,Notion,"Boston, MA","JavaScript, React, Node.js, Express, MongoDB, SQL, Git, Communication, Scrum, Project Management","Join our growing team at Notion in Boston, MA! Build full-lifecycle web applications. Manage database queries using MongoDB/SQL, create backend services in Node.js, and deliver rich frontend user experiences in React. We offer great benefits, flexible hours, and professional development.",0-2 years,"$75,000 - $100,000"
C++ Software Developer,Zoom,"Vancouver, Canada","C++, Algorithms, Data Structures, Linux, Multithreading, Git, Object-Oriented Programming, Communication, Analytics, Docker","Join our growing team at Zoom in Vancouver, Canada! Write high-performance low-level applications in C++. Optimize algorithms, design efficient data structures, and implement multithreading solutions. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $205,000"
QA Automation Engineer,Figma,"Mumbai, India","Python, Selenium, Java, Test Automation, API Testing, Postman, CI/CD, Git, SQL, Communication","Join our growing team at Figma in Mumbai, India! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",5+ years,"$125,000 - $160,000"
Product Manager,Atlassian,Remote (US),"Product Strategy, Agile, Scrum, Jira, Market Research, Roadmapping, Communication, SQL, Teamwork","Join our growing team at Atlassian in Remote (US)! Define the product vision, roadmap, and requirements. Lead cross-functional teams of engineers and designers to launch new tech features under Agile methodologies. We offer great benefits, flexible hours, and professional development.",5+ years,"$160,000 - $210,000"
Java Software Engineer,LinkedIn,Remote (Worldwide),"Java, Spring Boot, SQL, Hibernate, JUnit, Docker, Git, Agile, Scrum","Join our growing team at LinkedIn in Remote (Worldwide)! Develop robust enterprise-grade backend services using Java and Spring Boot. Design microservices and implement unit tests with JUnit. We offer great benefits, flexible hours, and professional development.",0-2 years,"$70,000 - $95,000"
Data Analyst,TCS,"Manchester, UK","Excel, Python, Power BI, Tableau, Data Visualization, Statistics, Git, SQL","Join our growing team at TCS in Manchester, UK! Analyze key performance indicators and business metrics. Write SQL queries to extract data, create automated reports in Excel, and design dashboards in Power BI. We offer great benefits, flexible hours, and professional development.",2-4 years,"$80,000 - $105,000"
Data Analyst,Canva,Remote (Europe),"SQL, Excel, Python, Power BI, Tableau, Data Visualization, Communication, Teamwork, Analytics","Join our growing team at Canva in Remote (Europe)! Translate data into actionable business insights. Perform descriptive statistics, build interactive dashboards in Tableau, and clean datasets using Python and Pandas. We offer great benefits, flexible hours, and professional development.",2-4 years,"$80,000 - $105,000"
Product Manager,Meta,"Paris, France","Product Strategy, Agile, Scrum, Jira, Market Research, Roadmapping, Communication, Project Management","Join our growing team at Meta in Paris, France! Drive product development from conception to launch. Conduct user research, analyze metrics, and prioritize backlog items using Jira and Agile frameworks. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
Java Software Engineer,Tesla,"Bangalore, India","Java, Spring Boot, Microservices, SQL, Hibernate, JUnit, Docker, Git, Project Management","Join our growing team at Tesla in Bangalore, India! Develop robust enterprise-grade backend services using Java and Spring Boot. Design microservices and implement unit tests with JUnit. We offer great benefits, flexible hours, and professional development.",5+ years,"$150,000 - $195,000"
Product Manager,Capgemini,"Manchester, UK","Product Strategy, Agile, Scrum, Jira, Market Research, Roadmapping, Communication, Project Management, Teamwork","Join our growing team at Capgemini in Manchester, UK! Define the product vision, roadmap, and requirements. Lead cross-functional teams of engineers and designers to launch new tech features under Agile methodologies. We offer great benefits, flexible hours, and professional development.",1-3 years,"$80,000 - $110,000"
Data Analyst,KPMG,"Boston, MA","SQL, Excel, Python, Tableau, Data Visualization, Statistics, Communication","Join our growing team at KPMG in Boston, MA! Analyze key performance indicators and business metrics. Write SQL queries to extract data, create automated reports in Excel, and design dashboards in Power BI. We offer great benefits, flexible hours, and professional development.",2-4 years,"$80,000 - $105,000"
DevOps Engineer,EY,"Vancouver, Canada","AWS, Docker, Kubernetes, Jenkins, Terraform, Linux, Git, Problem Solving, Communication","Join our growing team at EY in Vancouver, Canada! Design and implement automated build, test, and deployment pipelines (CI/CD). Manage cloud infrastructure on AWS using Infrastructure as Code (IaC) with Terraform. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
Cloud Architect,Robinhood,"Hyderabad, India","AWS, Azure, Cloud Computing, Enterprise Architecture, Docker, Linux, Kubernetes, Teamwork, Agile","Join our growing team at Robinhood in Hyderabad, India! Design and oversee cloud computing strategies and deployment plans. Architect secure, scalable, and resilient multi-tenant cloud solutions using AWS and Azure. We offer great benefits, flexible hours, and professional development.",7+ years,"$190,000 - $250,000"
UI/UX Designer,Canva,"Munich, Germany","Figma, Adobe XD, Wireframing, Prototyping, User Research, Visual Design, UI Design, SQL","Join our growing team at Canva in Munich, Germany! Design visual aesthetics, layout structures, and intuitive workflows for web and mobile platforms. Test interface usability and iterate based on feedback. We offer great benefits, flexible hours, and professional development.",2-5 years,"$90,000 - $125,000"
Java Software Engineer,Coinbase,"Berlin, Germany","Java, Spring Boot, Microservices, SQL, JUnit, Docker, Git, Project Management","Join our growing team at Coinbase in Berlin, Germany! Develop robust enterprise-grade backend services using Java and Spring Boot. Design microservices and implement unit tests with JUnit. We offer great benefits, flexible hours, and professional development.",0-2 years,"$70,000 - $95,000"
Product Manager,PayPal,Remote (Worldwide),"Product Strategy, Agile, Scrum, Jira, Market Research, Roadmapping, Communication, Analytics","Join our growing team at PayPal in Remote (Worldwide)! Drive product development from conception to launch. Conduct user research, analyze metrics, and prioritize backlog items using Jira and Agile frameworks. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
Backend Developer,Cognizant,"Tokyo, Japan","Python, Flask, Django, SQL, REST APIs, Git, Docker","Join our growing team at Cognizant in Tokyo, Japan! Responsible for server-side application logic, database design, optimization, and API integration. Work with Docker and cloud databases to deploy robust microservices. We offer great benefits, flexible hours, and professional development.",2-5 years,"$105,000 - $145,000"
C++ Software Developer,Figma,"Vancouver, Canada","C++, Data Structures, Linux, Multithreading, Git, Object-Oriented Programming, Scrum","Join our growing team at Figma in Vancouver, Canada! Responsible for memory management, real-time performance optimization, and low-level system design. Excel in Object-Oriented Design in C++ on Linux platforms. We offer great benefits, flexible hours, and professional development.",0-2 years,"$75,000 - $100,000"
Java Software Engineer,Twitter,Remote (Europe),"Java, Spring Boot, Microservices, SQL, Hibernate, JUnit, Docker, Git, Project Management","Join our growing team at Twitter in Remote (Europe)! Build scalable Java applications. Coordinate database operations with Hibernate, secure microservices, and containerize systems using Docker. We offer great benefits, flexible hours, and professional development.",5+ years,"$150,000 - $195,000"
Cloud Architect,Elastic,"Munich, Germany","AWS, Azure, Cloud Computing, Terraform, Enterprise Architecture, Docker, Linux, Kubernetes, SQL, Project Management","Join our growing team at Elastic in Munich, Germany! Lead the transition of legacy systems to modern cloud infrastructures. Optimize resource utilization, establish security baselines, and standardize deployment frameworks. We offer great benefits, flexible hours, and professional development.",7+ years,"$190,000 - $250,000"
Data Scientist,Datadog,"New York, NY","Python, Pandas, NumPy, Scikit-learn, Tableau, Machine Learning, Jupyter Notebook, Analytics, Communication","Join our growing team at Datadog in New York, NY! Apply machine learning algorithms, statistical analysis, and data modeling to solve complex business problems. Extract insights from large structured and unstructured datasets. We offer great benefits, flexible hours, and professional development.",1-3 years,"$85,000 - $110,000"
QA Automation Engineer,Confluent,Remote (India),"Python, Selenium, Java, Test Automation, API Testing, Postman, CI/CD, Git, Problem Solving","Join our growing team at Confluent in Remote (India)! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",1-3 years,"$65,000 - $85,000"
Java Software Engineer,NVIDIA,Remote (India),"Java, Spring Boot, Microservices, SQL, Hibernate, JUnit, Docker, Git, Scrum, Teamwork","Join our growing team at NVIDIA in Remote (India)! Build scalable Java applications. Coordinate database operations with Hibernate, secure microservices, and containerize systems using Docker. We offer great benefits, flexible hours, and professional development.",5+ years,"$150,000 - $195,000"
QA Automation Engineer,Amazon,"Tokyo, Japan","Selenium, Java, Test Automation, API Testing, Postman, CI/CD, Git, Agile, Analytics","Join our growing team at Amazon in Tokyo, Japan! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",3-5 years,"$90,000 - $120,000"
Frontend Engineer,Robinhood,Remote (Europe),"HTML, CSS, JavaScript, React, Redux, TypeScript, Tailwind CSS, Git, Agile, Problem Solving","Join our growing team at Robinhood in Remote (Europe)! Responsible for building responsive and beautiful user interfaces using React and TypeScript. Collaborate with UI/UX designers to translate Figma mockups into interactive, high-performance web pages. We offer great benefits, flexible hours, and professional development.",5+ years,"$150,000 - $190,000"
Product Manager,HP,"Seattle, WA","Product Strategy, Agile, Scrum, Jira, Market Research, Roadmapping, Communication, Docker, Teamwork","Join our growing team at HP in Seattle, WA! Drive product development from conception to launch. Conduct user research, analyze metrics, and prioritize backlog items using Jira and Agile frameworks. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
Data Scientist,Dell,"Hyderabad, India","Python, Pandas, NumPy, Scikit-learn, SQL, Tableau, Machine Learning, Jupyter Notebook, Agile, Project Management, Docker","Join our growing team at Dell in Hyderabad, India! Apply machine learning algorithms, statistical analysis, and data modeling to solve complex business problems. Extract insights from large structured and unstructured datasets. We offer great benefits, flexible hours, and professional development.",6+ years,"$170,000 - $220,000"
Java Software Engineer,Cognizant,Remote (US),"Java, Spring Boot, Microservices, SQL, Hibernate, JUnit, Docker, Git, Communication, Teamwork","Join our growing team at Cognizant in Remote (US)! Build scalable Java applications. Coordinate database operations with Hibernate, secure microservices, and containerize systems using Docker. We offer great benefits, flexible hours, and professional development.",0-2 years,"$70,000 - $95,000"
Data Scientist,Coinbase,"Austin, TX","Python, Pandas, NumPy, Scikit-learn, SQL, Tableau, Machine Learning, Jupyter Notebook, Docker, Scrum, Agile","Join our growing team at Coinbase in Austin, TX! Analyze data using Pandas and NumPy, build predictive models with Scikit-learn, and create interactive business intelligence dashboards using Tableau and SQL. We offer great benefits, flexible hours, and professional development.",3-6 years,"$120,000 - $160,000"
C++ Software Developer,Oracle,"Manchester, UK","C++, Algorithms, Data Structures, Linux, Git, Object-Oriented Programming, Communication","Join our growing team at Oracle in Manchester, UK! Write high-performance low-level applications in C++. Optimize algorithms, design efficient data structures, and implement multithreading solutions. We offer great benefits, flexible hours, and professional development.",5+ years,"$155,000 - $205,000"
Cyber Security Analyst,Microsoft,Remote (India),"Network Security, Ethical Hacking, Linux, Firewall, Wireshark, SIEM, Information Security, Scrum, Docker","Join our growing team at Microsoft in Remote (India)! Monitor network traffic, identify potential security breaches, and respond to cyber incidents. Conduct vulnerability assessments and secure systems with firewalls. We offer great benefits, flexible hours, and professional development.",1-3 years,"$75,000 - $100,000"
C++ Software Developer,Snowflake,"Berlin, Germany","C++, Algorithms, Data Structures, Linux, Multithreading, Git, Object-Oriented Programming, Communication, SQL, Analytics","Join our growing team at Snowflake in Berlin, Germany! Responsible for memory management, real-time performance optimization, and low-level system design. Excel in Object-Oriented Design in C++ on Linux platforms. We offer great benefits, flexible hours, and professional development.",2-5 years,"$110,000 - $150,000"
Cyber Security Analyst,Twitter,Remote (US),"Network Security, Ethical Hacking, Linux, Firewall, Wireshark, SIEM, Information Security, SQL, Problem Solving","Join our growing team at Twitter in Remote (US)! Monitor network traffic, identify potential security breaches, and respond to cyber incidents. Conduct vulnerability assessments and secure systems with firewalls. We offer great benefits, flexible hours, and professional development.",1-3 years,"$75,000 - $100,000"
Cloud Architect,KPMG,"Manchester, UK","AWS, Azure, Cloud Computing, Terraform, Enterprise Architecture, Docker, Kubernetes, Analytics","Join our growing team at KPMG in Manchester, UK! Lead the transition of legacy systems to modern cloud infrastructures. Optimize resource utilization, establish security baselines, and standardize deployment frameworks. We offer great benefits, flexible hours, and professional development.",4-7 years,"$140,000 - $185,000"
Cyber Security Analyst,Lyft,"London, UK","Network Security, Ethical Hacking, Linux, Firewall, Wireshark, SIEM, Information Security, Scrum, Docker","Join our growing team at Lyft in London, UK! Implement security strategies, audit systems for compliance, analyze logs using SIEM tools, and protect company infrastructure from unauthorized access. We offer great benefits, flexible hours, and professional development.",3-5 years,"$110,000 - $150,000"
Product Manager,Slack,"London, UK","Product Strategy, Agile, Scrum, Jira, Market Research, Roadmapping, Communication, Analytics, SQL","Join our growing team at Slack in London, UK! Drive product development from conception to launch. Conduct user research, analyze metrics, and prioritize backlog items using Jira and Agile frameworks. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
Java Software Engineer,Confluent,"Manchester, UK","Java, Spring Boot, Microservices, SQL, Hibernate, JUnit, Docker, Git, Analytics, Scrum","Join our growing team at Confluent in Manchester, UK! Build scalable Java applications. Coordinate database operations with Hibernate, secure microservices, and containerize systems using Docker. We offer great benefits, flexible hours, and professional development.",2-5 years,"$100,000 - $140,000"
Product Manager,Microsoft,"Bangalore, India","Product Strategy, Agile, Scrum, Jira, Market Research, Roadmapping, Communication, SQL, Project Management","Join our growing team at Microsoft in Bangalore, India! Define the product vision, roadmap, and requirements. Lead cross-functional teams of engineers and designers to launch new tech features under Agile methodologies. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
C++ Software Developer,Capgemini,"Manchester, UK","C++, Algorithms, Data Structures, Linux, Multithreading, Git, Object-Oriented Programming, Problem Solving, SQL","Join our growing team at Capgemini in Manchester, UK! Responsible for memory management, real-time performance optimization, and low-level system design. Excel in Object-Oriented Design in C++ on Linux platforms. We offer great benefits, flexible hours, and professional development.",0-2 years,"$75,000 - $100,000"
QA Automation Engineer,HubSpot,"Sydney, Australia","Python, Selenium, Java, Test Automation, API Testing, Postman, CI/CD, Git, Project Management, Analytics, Agile","Join our growing team at HubSpot in Sydney, Australia! Write automation scripts to test frontend UI and REST APIs. Write test plans, report bugs, and collaborate with developers on quick resolutions. We offer great benefits, flexible hours, and professional development.",3-5 years,"$90,000 - $120,000"
DevOps Engineer,LinkedIn,Remote (Worldwide),"AWS, Docker, Kubernetes, CI/CD, Jenkins, Terraform, Linux, Git, Analytics, SQL, Scrum","Join our growing team at LinkedIn in Remote (Worldwide)! Maintain high availability of applications using Kubernetes and Docker. Streamline development processes, monitor system performance, and handle container orchestration. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
Product Manager,Canva,Remote (Europe),"Product Strategy, Agile, Scrum, Jira, Market Research, Roadmapping, Communication, SQL, Project Management","Join our growing team at Canva in Remote (Europe)! Drive product development from conception to launch. Conduct user research, analyze metrics, and prioritize backlog items using Jira and Agile frameworks. We offer great benefits, flexible hours, and professional development.",3-5 years,"$115,000 - $155,000"
